Year,Bayside,,,,Mayfield,,,,Stockton,,,,,,,Mayfield,,,,,,,Stockton,,,,,,Bayside,,,,,,
2025,Mass,(NH4)2SO4,Sulphate/mass,NH4NO3,Mass,(NH4)2SO4,,Sulphate/mass,Mass,(NH4)2SO4,Sulphate/mass,,,,2024,Mass,(NH4)2SO4,Organic,BC,Salt,NH4NO3,2024,Mass,(NH4)2SO4,Organic,BC,Salt,NH4NO3,2024,Mass,(NH4)2SO4,Organic,BC,Salt,NH4NO3
Jan-25,7.72,1.67,21.63,0.00,7.07,1.58,,22.40,7.88,1.32,16.79,,,,Jan-24,6.92,1.83,0.15,0.59,2.21,0.79,Jan-24,9.34,2.07,0.03,0.38,3.83,0.75,Jan-24,7.60,2.09,0.07,0.80,2.54,0.44
Feb-25,5.80,1.29,22.30,0.01,5.28,1.65,,31.22,5.95,1.16,19.47,,,,Feb-24,9.03,1.55,0.46,0.63,2.66,1.11,Feb-24,10.98,1.53,0.24,0.44,3.74,1.34,Feb-24,8.28,1.75,0.54,0.74,2.80,1.08
Mar-25,5.51,1.29,23.48,0.17,5.39,0.93,,17.28,7.49,1.04,13.81,,,,Mar-24,6.93,1.34,0.20,0.65,2.02,1.07,Mar-24,10.08,1.46,0.14,0.48,3.48,1.20,Mar-24,7.44,2.09,0.14,0.83,2.02,0.85
Apr-25,5.07,0.77,15.21,0.09,5.70,0.85,,14.92,6.77,1.01,14.90,,,,Apr-24,5.86,1.09,0.88,0.85,1.22,1.08,Apr-24,9.89,1.59,1.06,0.87,2.37,1.46,Apr-24,6.77,1.18,1.36,1.00,1.36,1.29
May-25,5.31,0.59,11.06,0.02,4.40,0.61,,13.81,6.28,0.82,12.99,,,,May-24,5.66,1.03,1.39,0.98,0.75,1.40,May-24,7.08,1.08,1.71,0.95,1.20,1.99,May-24,6.31,1.06,1.58,1.15,0.93,1.38
Jun-25,6.57,0.63,9.58,0.57,5.23,0.71,,13.55,6.31,0.79,12.57,,,,Jun-24,4.44,0.62,1.23,0.96,0.42,1.20,Jun-24,6.87,0.85,2.17,0.99,0.65,2.32,Jun-24,4.90,0.53,1.56,1.40,0.50,1.18
Jul-25,5.11,0.51,10.07,0.16,4.58,0.44,,9.69,6.04,0.76,12.51,,,,Jul-24,3.71,0.38,0.74,0.73,1.14,1.15,Jul-24,5.03,0.62,0.98,0.73,1.67,1.22,Jul-24,4.22,0.40,1.06,1.00,1.07,1.18
Aug-25,3.50,0.48,13.81,0.04,4.07,0.58,,14.24,6.14,0.80,12.98,,,,Aug-24,6.32,0.97,1.91,1.03,0.94,1.31,Aug-24,9.14,1.08,2.66,1.06,1.61,2.49,Aug-24,7.68,0.93,2.61,1.35,1.20,1.55
Sep-25,6.68,1.31,19.62,0.17,7.65,1.14,,14.89,8.36,1.24,14.86,,,,Sep-24,6.47,0.93,1.51,0.92,1.69,1.27,Sep-24,9.31,1.23,1.83,0.84,2.56,1.65,Sep-24,7.31,0.81,1.81,1.28,1.43,1.33
Oct-25,5.95,1.25,21.09,0.18,6.41,1.35,,21.08,7.39,1.39,18.85,,,,Oct-24,6.42,1.24,0.43,0.63,2.41,1.16,Oct-24,8.29,1.27,0.23,0.47,3.35,2.06,Oct-24,6.50,1.39,0.43,0.78,2.62,1.81
Nov-25,4.64,0.96,20.67,0.18,7.76,1.14,,14.68,8.53,1.17,13.75,,,,Nov-24,7.02,1.52,0.49,0.61,1.98,1.54,Nov-24,11.15,1.61,0.15,0.43,3.63,1.70,Nov-24,10.64,1.70,2.85,0.96,2.41,1.88
Dec-25,8.03,1.89,23.59,0.20,7.05,1.67,,23.75,9.15,1.72,18.80,,,,Dec-24,7.07,2.39,0.19,0.51,2.62,1.19,Dec-24,9.34,2.56,0.17,0.41,3.49,1.43,Dec-24,8.01,1.81,0.41,0.55,3.43,1.42
